"","x"
"423","Tb927.9.11660"
"424","Tb927.9.11830"
"425","Tb927.9.12160"
"426","Tb927.9.12300"
"427","Tb927.9.12400"
"428","Tb927.9.12450"
"429","Tb927.9.12650"
"430","Tb927.9.12670"
"431","Tb927.9.12710"
"432","Tb927.9.12950"
"433","Tb927.9.13200"
"434","Tb927.9.13430"
"435","Tb927.9.13510"
"436","Tb927.9.13570"
"437","Tb927.9.13580"
"438","Tb927.9.14330"
"439","Tb927.9.14470"
"440","Tb927.9.14510"
"441","Tb927.9.15260"
"442","Tb927.9.15290"
"443","Tb927.9.15570"
"444","Tb927.9.15660"
"445","Tb927.9.15690"
"446","Tb927.9.15870"
"447","Tb927.9.16890"
"448","Tb927.10.100"
"449","Tb927.10.210"
"450","Tb927.10.270"
"451","Tb927.10.440"
"452","Tb927.10.460"
"453","Tb927.10.570"
"454","Tb927.10.720"
"455","Tb927.10.1210"
"456","Tb927.10.1240"
"457","Tb927.10.1250"
"458","Tb927.10.1390"
"459","Tb927.10.1400"
"460","Tb927.10.1500"
"461","Tb927.10.2010"
"462","Tb927.10.2020"
"463","Tb927.10.2290"
"464","Tb927.10.2490"
"465","Tb927.10.2800"
"466","Tb927.10.2840"
"467","Tb927.10.2870"
"468","Tb927.10.2980"
"469","Tb927.10.3100"
"470","Tb927.10.3120"
"471","Tb927.10.3330"
"472","Tb927.10.3340"
"473","Tb927.10.3370"
"474","Tb927.10.3380"
"475","Tb927.10.3400"
"476","Tb927.10.3490"
"477","Tb927.10.3600"
"478","Tb927.10.3650"
"479","Tb927.10.3660"
"480","Tb927.10.3800"
"481","Tb927.10.3880"
"482","Tb927.10.3960"
"483","Tb927.10.3970"
"484","Tb927.10.4050"
"485","Tb927.10.4150"
"486","Tb927.10.4290"
"487","Tb927.10.4890"
"488","Tb927.10.5140"
"489","Tb927.10.5150"
"490","Tb927.10.5320"
"491","Tb927.10.5330"
"492","Tb927.10.5340"
"493","Tb927.10.5370"
"494","Tb927.10.5450"
"495","Tb927.10.5460"
"496","Tb927.10.5520"
"497","Tb927.10.5620"
"498","Tb927.10.5970"
"499","Tb927.10.6210"
"500","Tb927.10.6570"
"501","Tb927.10.6590"
"502","Tb927.10.6620"
"503","Tb927.10.6870"
"504","Tb927.10.6880"
"505","Tb927.10.7040"
"506","Tb927.10.7060"
"507","Tb927.10.7090"
"508","Tb927.10.7110"
"509","Tb927.10.7210"
"510","Tb927.10.7560"
"511","Tb927.10.7750"
"512","Tb927.10.7820"
"513","Tb927.10.7860"
"514","Tb927.10.8450"
"515","Tb927.10.8550"
"516","Tb927.10.8560"
"517","Tb927.10.8670"
"518","Tb927.10.8760"
"519","Tb927.10.8820"
"520","Tb927.10.8900"
"521","Tb927.10.9080"
"522","Tb927.10.9100"
"523","Tb927.10.9190"
"524","Tb927.10.9420"
"525","Tb927.10.9650"
"526","Tb927.10.9690"
"527","Tb927.10.9700"
"528","Tb927.10.9730"
"529","Tb927.10.10100"
"530","Tb927.10.10250"
"531","Tb927.10.10280"
"532","Tb927.10.10310"
"533","Tb927.10.10360"
"534","Tb927.10.10600"
"535","Tb927.10.10610"
"536","Tb927.10.10660"
"537","Tb927.10.11110"
"538","Tb927.10.11210"
"539","Tb927.10.11300"
"540","Tb927.10.11310"
"541","Tb927.10.11400"
"542","Tb927.10.11440"
"543","Tb927.10.11450"
"544","Tb927.10.11470"
"545","Tb927.10.11590"
"546","Tb927.10.11640"
"547","Tb927.10.11940"
"548","Tb927.10.12170"
"549","Tb927.10.12390"
"550","Tb927.10.12410"
"551","Tb927.10.12680"
"552","Tb927.10.12750"
"553","Tb927.10.12760"
"554","Tb927.10.12820"
"555","Tb927.10.12870"
"556","Tb927.10.12990"
"557","Tb927.10.13040"
"558","Tb927.10.13340"
"559","Tb927.10.13560"
"560","Tb927.10.13680"
"561","Tb927.10.13740"
"562","Tb927.10.13990"
"563","Tb927.10.14140"
"564","Tb927.10.14160"
"565","Tb927.10.14270"
"566","Tb927.10.14430"
"567","Tb927.10.14490"
"568","Tb927.10.14540"
"569","Tb927.10.14550"
"570","Tb927.10.14740"
"571","Tb927.10.14780"
"572","Tb927.10.14860"
"573","Tb927.10.14930"
"574","Tb927.10.15010"
"575","Tb927.10.15300"
"576","Tb927.10.15310"
"577","Tb927.10.15480"
"578","Tb927.10.15720"
"579","Tb927.10.15790"
"580","Tb927.10.15850"
"581","Tb927.10.16000"
"582","Tb927.10.16190"
"583","Tb927.11.230"
"584","Tb927.11.650"
"585","Tb927.11.740"
"586","Tb927.11.760"
"587","Tb927.11.780"
"588","Tb927.11.810"
"589","Tb927.11.870"
"590","Tb927.11.1110"
"591","Tb927.11.1150"
"592","Tb927.11.1240"
"593","Tb927.11.1310"
"594","Tb927.11.1340"
"595","Tb927.11.1400"
"596","Tb927.11.1430"
"597","Tb927.11.1460"
"598","Tb927.11.1480"
"599","Tb927.11.1640"
"600","Tb927.11.2040"
"601","Tb927.11.2110"
"602","Tb927.11.2150"
"603","Tb927.11.2290"
"604","Tb927.11.2450"
"605","Tb927.11.2610"
"606","Tb927.11.2680"
"607","Tb927.11.2820"
"608","Tb927.11.2860"
"609","Tb927.11.3330"
"610","Tb927.11.3400"
"611","Tb927.11.3600"
"612","Tb927.11.3690"
"613","Tb927.11.3720"
"614","Tb927.11.3770"
"615","Tb927.11.3850"
"616","Tb927.11.3940"
"617","Tb927.11.4040"
"618","Tb927.11.4340"
"619","Tb927.11.4420"
"620","Tb927.11.4560"
"621","Tb927.11.4610"
"622","Tb927.11.4860"
"623","Tb927.11.5070"
"624","Tb927.11.5080"
"625","Tb927.11.5440"
"626","Tb927.11.5630"
"627","Tb927.11.5680"
"628","Tb927.11.5720"
"629","Tb927.11.5940"
"630","Tb927.11.6030"
"631","Tb927.11.6150"
"632","Tb927.11.6280"
"633","Tb927.11.6330"
"634","Tb927.11.6430"
"635","Tb927.11.6460"
"636","Tb927.11.6570"
"637","Tb927.11.6840"
"638","Tb927.11.6940"
"639","Tb927.11.6990"
"640","Tb927.11.7030"
"641","Tb927.11.7060"
"642","Tb927.11.7480"
"643","Tb927.11.7490"
"644","Tb927.11.7500"
"645","Tb927.11.7520"
"646","Tb927.11.7550"
"647","Tb927.11.7790"
"648","Tb927.11.7820"
"649","Tb927.11.7870"
"650","Tb927.11.7970"
"651","Tb927.11.8070"
"652","Tb927.11.8380"
"653","Tb927.11.8410"
"654","Tb927.11.8580"
"655","Tb927.11.8990"
"656","Tb927.11.9000"
"657","Tb927.11.9530"
"658","Tb927.11.9600"
"659","Tb927.11.9920"
"660","Tb927.11.10000"
"661","Tb927.11.10040"
"662","Tb927.11.10190"
"663","Tb927.11.10330"
"664","Tb927.11.10470"
"665","Tb927.11.10560"
"666","Tb927.11.10690"
"667","Tb927.11.10920"
"668","Tb927.11.11040"
"669","Tb927.11.11080"
"670","Tb927.11.11120"
"671","Tb927.11.11350"
"672","Tb927.11.11650"
"673","Tb927.11.11710"
"674","Tb927.11.12110"
"675","Tb927.11.12410"
"676","Tb927.11.12540"
"677","Tb927.11.12720"
"678","Tb927.11.12730"
"679","Tb927.11.13000"
"680","Tb927.11.13010"
"681","Tb927.11.13110"
"682","Tb927.11.13130"
"683","Tb927.11.13270"
"684","Tb927.11.13510"
"685","Tb927.11.13550"
"686","Tb927.11.13670"
"687","Tb927.11.14220"
"688","Tb927.11.14270"
"689","Tb927.11.14360"
"690","Tb927.11.14530"
"691","Tb927.11.14540"
"692","Tb927.11.14560"
"693","Tb927.11.14590"
"694","Tb927.11.15010"
"695","Tb927.11.15040"
"696","Tb927.11.15160"
"697","Tb927.11.15180"
"698","Tb927.11.15530"
"699","Tb927.11.15670"
"700","Tb927.11.15700"
"701","Tb927.11.15880"
"702","Tb927.11.15900"
"703","Tb927.11.15960"
"704","Tb927.11.16030"
"705","Tb927.11.16120"
"706","Tb927.11.16300"
"707","Tb927.11.16430"
"708","Tb927.11.16450"
"709","Tb927.11.16460"
"710","Tb927.11.16550"
"711","Tb927.11.16710"
"712","Tb927.11.16720"
